Player Name,Team,Pos,Games,G,A,Pts,PIM,SOG,Hits,BS
Filip Zadina,DET,LW,9,1,2,3,0,18,6,3
Nikita Zadorov,COL,D,70,7,7,14,75,100,228,67
Nikita Zaitsev,OTT,D,81,3,11,14,18,71,139,151
Travis Zajac,NJ,C,80,19,27,46,20,120,66,38
Jakub Zboril,BOS,D,2,0,0,0,0,1,3,0
Mika Zibanejad,NYR,C,82,30,44,74,47,236,134,66
Michael Del Zotto,ANH,D,42,1,9,10,8,45,129,53
Mats Zuccarello,MIN,RW,48,12,28,40,24,104,57,43
Jason Zucker,MIN,LW,81,21,21,42,28,214,87,38
Valentin Zykov,VGK,RW,28,2,3,5,2,29,26,6
