Player Name,Team,Pos,Games,G,A,Pts,PIM,SOG,Hits,BS
Cody Eakin,VGK,C,78,22,19,41,16,120,88,35
Patrick Eaves,ANH,RW,7,0,0,0,4,6,14,1
Jordan Eberle,NYI,RW,78,19,18,37,17,160,36,35
Alexander Edler,VAN,D,56,10,24,34,54,128,127,166
Joel Edmundson,STL,D,64,2,9,11,68,102,128,106
Nikolaj Ehlers,WPG,LW,62,21,16,37,15,158,27,16
Christoffer Ehn,DET,C,60,3,6,9,6,49,70,39
Jack Eichel,BUF,C,77,28,54,82,26,303,70,51
Joel Eriksson Ek,MIN,C,58,7,7,14,20,111,117,24
Aaron Ekblad,FLA,D,82,13,24,37,47,180,114,88
Mattias Ekholm,NSH,D,80,8,36,44,47,146,68,107
Oliver Ekman-Larsson,ARI,D,81,14,30,44,52,176,162,52
Remi Elie,BUF,LW,16,0,1,1,2,9,30,3
Lars Eller,WAS,C,81,13,23,36,37,163,69,47
Stefan Elliott,FA,D,3,0,1,1,0,3,2,1
Ryan Ellis,NSH,D,82,7,34,41,20,149,71,154
Deryk Engelland,VGK,D,74,2,10,12,18,105,165,152
Andreas Englund,OTT,D,3,0,0,0,10,2,5,2
Tyler Ennis,OTT,LW,51,12,6,18,2,81,49,14
Jonathan Ericsson,DET,D,52,3,2,5,35,48,98,56
Loui Eriksson,VAN,RW,81,11,18,29,22,107,3,28
Adam Erne,DET,LW,65,7,13,20,40,70,159,26
Robby Fabbri,STL,LW,32,2,4,6,6,43,30,8
Dante Fabbro,NSH,D,4,1,0,1,0,5,3,6
Radek Faksa,DAL,C,81,15,15,30,54,114,103,65
Justin Falk,FA,D,10,0,0,0,11,7,36,9
Oscar Fantenberg,VAN,D,61,2,2,4,17,70,91,74
Jesper Fast,NYR,RW,66,8,12,20,26,80,120,47
Justin Faulk,CAR,D,82,11,24,35,47,217,156,121
Taylor Fedun,DAL,D,54,4,7,11,14,86,19,58
Eric Fehr,FA,RW,72,7,8,15,30,67,40,48
Micheal Ferland,VAN,LW,71,17,23,40,58,156,182,19
Kevin Fiala,MIN,LW,83,13,26,39,36,174,42,20
Valtteri Filppula,DET,C,72,17,14,31,16,78,12,34
